Suburb,Address,Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,CrimeRate,NearbySchools
Abbotsford,85 Turner St,2,h,1480000.0,2016-12-03,2.5,3067,1,1,202,0,0,Yarra City Council,-37.7996,144.9984,Northern Metropolitan,4019,157,2
Abbotsford,25 Bloomburg St,2,h,1035000.0,2016-02-04,2.5,3067,1,0,156,79,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019,157,2
Abbotsford,5 Charles St,3,h,1465000.0,2017-03-04,2.5,3067,2,0,134,150,1900,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019,157,2
Abbotsford,40 Federation La,3,h,850000.0,2017-03-04,2.5,3067,2,1,94,0,0,Yarra City Council,-37.7969,144.9969,Northern Metropolitan,4019,157,2
Abbotsford,55a Park St,4,h,1600000.0,2016-06-04,2.5,3067,1,2,120,142,2014,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019,157,2
Abbotsford,129 Charles St,2,h,941000.0,2016-05-07,2.5,3067,1,0,181,0,0,Yarra City Council,-37.8041,144.9953,Northern Metropolitan,4019,157,2
Abbotsford,124 Yarra St,3,h,1876000.0,2016-05-07,2.5,3067,2,0,245,210,1910,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019,157,2
Abbotsford,98 Charles St,2,h,1636000.0,2016-10-08,2.5,3067,1,2,256,107,1890,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019,157,2
Abbotsford,10 Valiant St,2,h,1097000.0,2016-10-08,2.5,3067,1,2,220,75,1900,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019,157,2
Abbotsford,40 Nicholson St,3,h,1350000.0,2016-11-12,2.5,3067,2,2,214,190,2005,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,4019,157,2
Abbotsford,45 William St,2,h,1172500.0,2016-08-13,2.5,3067,1,1,195,0,0,Yarra City Council,-37.8084,144.9973,Northern Metropolitan,4019,157,2
Abbotsford,16 William St,2,h,1310000.0,2016-10-15,2.5,3067,1,2,238,97,1890,Yarra City Council,-37.809,144.9976,Northern Metropolitan,4019,157,2
Abbotsford,42 Henry St,3,h,1200000.0,2016-07-16,2.5,3067,2,1,113,110,1880,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019,157,2
Abbotsford,78 Yarra St,3,h,1176500.0,2016-07-16,2.5,3067,1,1,138,105,1890,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019,157,2
Abbotsford,196 Nicholson St,3,h,955000.0,2016-09-17,2.5,3067,1,0,183,0,0,Yarra City Council,-37.8022,144.9975,Northern Metropolitan,4019,157,2
Abbotsford,42 Valiant St,2,h,890000.0,2016-09-17,2.5,3067,1,1,150,73,1985,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019,157,2
Abbotsford,3/72 Charles St,4,h,1330000.0,2017-03-18,2.5,3067,2,2,780,135,1900,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019,157,2
Abbotsford,138/56 Nicholson St,3,u,1090000.0,2017-03-18,2.5,3067,2,2,4290,27,0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019,157,2
Abbotsford,52a William St,2,h,1100000.0,2016-06-18,2.5,3067,2,1,124,135,2013,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019,157,2
Abbotsford,49 Park St,2,h,1315000.0,2016-11-19,2.5,3067,1,0,147,85,1900,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019,157,2
Abbotsford,48 Abbotsford St,3,h,1447500.0,2016-08-22,2.5,3067,3,1,166,174,2012,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019,157,2
Abbotsford,159 Park St,2,h,1135000.0,2016-08-22,2.5,3067,2,2,98,128,1920,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019,157,2
Abbotsford,166 Gipps St,3,h,1290000.0,2017-02-25,2.5,3067,2,2,147,18,0,Yarra City Council,-37.805,144.9943,Northern Metropolitan,4019,157,2
Abbotsford,60 Stafford St,3,h,1290000.0,2017-02-25,2.5,3067,1,1,168,124,1950,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019,157,2
Abbotsford,47 Studley St,2,h,1180000.0,2016-11-27,2.5,3067,1,0,162,91,1900,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019,157,2
Abbotsford,45 Yarra St,3,h,1195000.0,2016-11-27,2.5,3067,2,1,120,128,1998,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019,157,2
Abbotsford,200 Nicholson St,2,h,1012500.0,2016-05-28,2.5,3067,1,0,182,82,1900,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019,157,2
Abbotsford,27 Charles St,2,h,1030000.0,2016-07-30,2.5,3067,1,1,172,81,1930,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019,157,2
Airport West,154 Halsey Rd,3,t,840000.0,2016-09-03,13.5,3042,2,1,303,225,2016,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464,320,5
Airport West,23 Hart St,2,h,603000.0,2017-03-04,13.5,3042,1,1,272,84,1950,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464,320,5
Airport West,1/80 Hawker St,3,t,700000.0,2017-03-04,13.5,3042,2,2,239,134,2009,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464,320,5
Airport West,1/37 Hillside Gr,3,h,600000.0,2017-03-04,13.5,3042,1,1,290,116,1980,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464,320,5
Airport West,2/49 McIntosh St,2,u,500000.0,2017-03-04,13.5,3042,1,1,168,86,2011,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464,320,5
Airport West,54 Marshall Rd,3,h,720000.0,2016-08-06,13.5,3042,1,1,620,0,0,Moonee Valley City Council,-37.7173,144.8872,Western Metropolitan,3464,320,5
Airport West,36 Roberts Rd,4,h,785000.0,2016-08-06,13.5,3042,1,2,597,127,0,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan,3464,320,5
Airport West,11 Harrington Rd,6,h,725000.0,2016-05-07,13.5,3042,3,2,976,186,1980,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464,320,5
Airport West,2/252 Parer Rd,2,t,450000.0,2016-05-07,13.5,3042,1,1,110,90,2015,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464,320,5
Airport West,3/19 Hart St,2,u,515000.0,2016-11-07,13.5,3042,1,1,141,73,2013,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464,320,5
Airport West,2/62 Clydesdale Rd,2,u,530000.0,2016-09-10,13.5,3042,1,1,120,94,2012,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464,320,5
Airport West,3 Deidre Ct,3,h,895000.0,2016-09-10,13.5,3042,1,6,1063,133,1975,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464,320,5
Airport West,1/43 Cameron St,3,u,752000.0,2017-02-11,13.5,3042,1,1,265,130,1993,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464,320,5
Airport West,145a Victory Rd,2,u,440000.0,2016-08-13,13.5,3042,1,1,192,0,0,Moonee Valley City Council,-37.7177,144.8787,Western Metropolitan,3464,320,5
Airport West,241 Parer Rd,5,h,755000.0,2016-05-14,13.5,3042,2,2,596,0,0,Moonee Valley City Council,-37.7248,144.8699,Western Metropolitan,3464,320,5
Airport West,2/40 Earl St,3,t,700000.0,2016-10-15,13.5,3042,2,2,165,133,2009,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464,320,5
Airport West,180 Parer Rd,3,h,830000.0,2016-04-16,13.5,3042,1,2,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464,320,5
Airport West,4/54 Hawker St,2,u,462500.0,2016-07-16,13.5,3042,1,1,164,0,2003,Moonee Valley City Council,-37.7218,144.8863,Western Metropolitan,3464,320,5
Airport West,43 Hillside Gr,3,h,670000.0,2016-07-16,13.5,3042,2,2,657,0,0,Moonee Valley City Council,-37.7269,144.8742,Western Metropolitan,3464,320,5
Airport West,174 Parer Rd,2,h,675000.0,2016-07-16,13.5,3042,1,1,612,100,1975,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464,320,5
Airport West,138 Victory Rd,3,h,1042000.0,2016-07-16,13.5,3042,2,5,612,174,1950,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464,320,5
Airport West,75 King St,3,h,910000.0,2016-09-17,13.5,3042,1,1,775,0,0,Moonee Valley City Council,-37.7231,144.8835,Western Metropolitan,3464,320,5
Airport West,6 Kittyhawk St,4,h,773000.0,2016-09-17,13.5,3042,3,4,531,309,1980,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464,320,5
Airport West,478 Fullarton Rd,3,h,810000.0,2017-03-18,13.5,3042,3,2,555,192,1980,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464,320,5
